Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,188,1000
2,0,122,255,1000
3,0,232,333,1000
4,0,420,333,1000
5,0,608,333,1000
6,0,667,333,0
7,0,667,333,0
8,0,667,333,0
9,0,667,333,0
10,0,667,333,0
11,0,667,333,0
12,0,667,333,0
13,0,667,333,0
14,0,667,333,0
15,0,667,333,0
16,0,667,333,0
17,0,667,333,0
18,0,667,333,0
19,0,667,333,0
20,0,667,333,0
21,0,667,333,0
22,87,667,246,0
23,134,667,199,1000
24,202,667,131,1000
25,202,667,131,1000
26,202,667,131,1000
27,202,667,131,1000
28,202,667,131,1000
29,202,667,131,1000
30,202,667,131,1000
31,202,667,131,1000
32,202,667,131,1000
33,202,628,170,1000
34,202,501,297,1000
35,202,438,360,1000
36,202,438,360,1000
37,202,438,360,1000
38,202,438,360,1000
39,202,438,360,0
40,202,438,360,0
41,202,438,360,0
42,202,438,360,0
43,327,438,235,0
44,331,438,231,0
45,331,438,231,0
46,331,438,231,0
47,331,438,231,0
48,331,438,231,0
49,331,438,231,0
50,332,438,230,0
51,332,438,230,0
52,333,438,229,0
53,333,438,229,0
54,384,438,178,1000
55,427,438,135,1000
56,427,438,135,1000
57,427,438,135,1000
58,427,438,135,1000
59,427,438,135,1000
60,427,438,135,1000
61,427,438,135,1000
62,427,438,135,1000
63,491,438,71,1000
64,548,438,14,1000
65,553,438,9,1000
66,555,438,7,1000
67,556,438,6,1000
68,556,438,6,1000
69,556,160,284,1000
70,556,160,284,1000
71,576,12,412,1000
72,578,12,410,0
73,578,12,410,0
74,578,12,410,0
75,582,12,406,0
76,582,12,406,0
77,582,12,406,0
78,582,12,406,0
79,582,12,406,0
80,582,12,406,0
81,582,12,406,0
82,582,12,406,0
83,582,12,406,0
84,582,12,406,0
85,582,12,406,0
86,582,12,406,0
87,582,12,406,0
88,582,12,406,0
89,801,12,187,0
90,801,12,187,0
91,801,12,187,1000
92,801,12,187,1000
93,802,12,186,1000
94,802,12,186,1000
95,806,12,182,1000
96,806,12,182,1000
97,807,12,181,1000
98,807,12,181,1000
99,807,12,181,1000
100,807,12,181,1000
101,807,12,181,1000
102,807,12,181,1000
103,807,12,181,1000
104,807,12,181,1000
105,807,12,181,1000
106,807,12,181,1000
107,807,12,181,1000
108,807,12,181,1000
109,807,12,181,1000
110,934,12,54,1000
111,934,12,54,1000
112,934,12,54,1000
113,934,12,54,1000
114,934,12,54,1000
115,934,12,54,1000
116,934,12,54,1000
117,934,12,54,1000
118,988,12,0,1000
119,988,12,0,1000
120,988,12,0,1000
121,988,12,0,1000
